,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery,failure,chip_counts,fail_counts,failure_rate
64,17_2023-03-07,A,5,ARA Chur,2023-03-07,v4.2,20230309_N1MHV_03060307_17.xlsx,2023-03-09,S-0680789-4-A5,n1mhv,ww,qscript_xlt,40.0,U,False,27178,151.0,2756.0,0.0,268.3745742241375,21469.965937931,536.749148448275,732.2956503618367,447.3949586962239,1.02,298.0,1382.0,0.0,531.0841446703716,42486.73157362973,1062.168289340743,873.5129017358998,188.7022574129109,1.21,322667.9641917894,13.16732253852638,0,12.0,0.0,0.0
65,17_2023-03-07,A,5,ARA Chur,2023-03-07,v4.2,20230309_N1MHV_03060307_17.xlsx,2023-03-09,S-0680789-4-B5,n1mhv,ww,qscript_xlt,40.0,U,False,22282,139.0,2756.0,0.0,301.4334383959464,24114.67507167572,602.8668767918929,732.2956503618367,447.3949586962239,0.98,252.0,1382.0,0.0,547.881349849373,43830.50798794984,1095.762699698746,873.5129017358998,188.7022574129109,1.19,322667.9641917894,13.58378049637973,0,12.0,0.0,0.0
76,17_2023-03-06,A,5,ARA Chur,2023-03-06,v4.2,20230309_N1MHV_03060307_17.xlsx,2023-03-09,S-0674972-9-C4,n1mhv,ww,qscript_xlt,40.0,U,False,23460,152.0,2756.0,0.0,313.1114616811982,25048.91693449586,626.2229233623964,749.0356960789284,447.3949586962239,0.98,0.0,1382.0,0.0,0.0,0.0,0.0,201.8033492767495,188.7022574129109,1.07,322667.9641917894,0.0,0,12.0,0.0,0.0
77,17_2023-03-06,A,5,ARA Chur,2023-03-06,v4.2,20230309_N1MHV_03060307_17.xlsx,2023-03-09,S-0674972-9-D4,n1mhv,ww,qscript_xlt,40.0,U,False,24603,129.0,2756.0,0.0,253.2301136275273,20258.40909020219,506.4602272550546,749.0356960789284,447.3949586962239,1.07,0.0,1382.0,0.0,0.0,0.0,0.0,201.8033492767495,188.7022574129109,1.07,322667.9641917894,0.0,0,12.0,0.0,0.0
92,17_2023-03-05,A,5,ARA Chur,2023-03-05,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675373-3-A6,n1mhv,ww,qscript_xlt,40.0,Y,False,26588,178.0,2945.0,0.0,323.5674311317239,25885.39449053791,647.1348622634479,793.2717020165753,429.0266089586685,1.05,366.0,1468.0,0.0,667.6894557863844,53415.15646291075,1335.378911572769,1047.005848392887,216.5372464017578,1.18,322667.9641917894,16.55421745902284,0,12.0,0.0,0.0
93,17_2023-03-05,A,5,ARA Chur,2023-03-05,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675373-3-B6,n1mhv,ww,qscript_xlt,40.0,Y,False,24751,174.0,2945.0,0.0,339.8288052636632,27186.30442109306,679.6576105273265,793.2717020165753,429.0266089586685,1.03,328.0,1468.0,0.0,642.6098737443039,51408.78989954431,1285.219747488608,1047.005848392887,216.5372464017578,1.22,322667.9641917894,15.93241214023579,0,12.0,0.0,0.0
100,17_2023-03-04,A,5,ARA Chur,2023-03-04,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675372-6-C5,n1mhv,ww,qscript_xlt,40.0,Y,False,24069,369.0,2945.0,0.0,744.2031454018862,59536.2516321509,1488.406290803772,,,,0.0,1468.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
101,17_2023-03-04,A,5,ARA Chur,2023-03-04,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675372-6-D5,n1mhv,ww,qscript_xlt,40.0,Y,False,24683,357.0,2945.0,0.0,701.782773089688,56142.62184717504,1403.565546179376,,,,0.0,1468.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
108,17_2023-03-03,A,5,ARA Chur,2023-03-03,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675372-6-A5,n1mhv,ww,qscript_xlt,40.0,Y,False,26313,425.0,2945.0,0.0,784.3724836836709,62749.79869469367,1568.744967367342,1433.808321490598,429.0266089586685,1.18,299.0,1468.0,0.0,550.4941712815619,44039.53370252495,1100.988342563124,905.8486031718417,216.5372464017578,1.18,322667.9641917894,13.64856093254689,0,12.0,0.0,0.0
109,17_2023-03-03,A,5,ARA Chur,2023-03-03,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675372-6-B5,n1mhv,ww,qscript_xlt,40.0,Y,False,24965,396.0,2945.0,0.0,770.2003029120448,61616.02423296358,1540.40060582409,1433.808321490598,429.0266089586685,1.2,288.0,1468.0,0.0,558.921397862518,44713.71182900144,1117.842795725036,905.8486031718417,216.5372464017578,1.17,322667.9641917894,13.85749959435831,0,12.0,0.0,0.0
116,17_2023-03-02,A,5,ARA Chur,2023-03-02,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675374-0-C4,n1mhv,ww,qscript_xlt,40.0,Y,False,25065,176.0,2945.0,0.0,339.4273564979209,27154.18851983367,678.8547129958417,1026.54525345824,429.0266089586685,1.34,0.0,1468.0,0.0,0.0,0.0,0.0,186.2001760079483,216.5372464017578,0.86,322667.9641917894,0.0,0,12.0,0.0,0.0
117,17_2023-03-02,A,5,ARA Chur,2023-03-02,v4.2,20230308_N1MHV_03010305_17.xlsx,2023-03-08,S-0675374-0-D4,n1mhv,ww,qscript_xlt,40.0,Y,False,26687,154.0,2945.0,0.0,278.7723584341097,22301.78867472878,557.5447168682194,1026.54525345824,429.0266089586685,1.45,0.0,1468.0,0.0,0.0,0.0,0.0,186.2001760079483,216.5372464017578,0.86,322667.9641917894,0.0,0,12.0,0.0,0.0
