,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery,failure,chip_counts,fail_counts,failure_rate
56,16_2023-02-21,A,5,STEP Aire,2023-02-21,v4.2,20230223_N1MHV_02200221_17.xlsx,2023-02-23,S-0681331-4-A4,n1mhv,ww,qscript_xlt,40.0,U,False,26235,74.0,3341.0,0.0,136.0618969455346,10884.95175564277,272.1237938910693,555.9582803583314,404.6216826999464,1.03,389.0,1705.0,0.0,719.5831905431323,57566.65524345059,1439.166381086265,1070.956407628406,174.5782199751017,1.2,322667.9641917894,17.84083380810429,0,12.0,0.0,0.0
57,16_2023-02-21,A,5,STEP Aire,2023-02-21,v4.2,20230223_N1MHV_02200221_17.xlsx,2023-02-23,S-0681331-4-B4,n1mhv,ww,qscript_xlt,40.0,U,False,26019,84.0,3341.0,0.0,155.7626477391575,12461.0118191326,311.5252954783151,555.9582803583314,404.6216826999464,0.99,386.0,1705.0,0.0,719.9641865443936,57597.13492355149,1439.928373088787,1070.956407628406,174.5782199751017,1.2,322667.9641917894,17.85027995196838,0,12.0,0.0,0.0
70,16_2023-02-20,A,5,STEP Aire,2023-02-20,v4.2,20230223_N1MHV_02200221_17.xlsx,2023-02-23,S-0680094-9-A3,n1mhv,ww,qscript_xlt,40.0,Z,False,27196,66.0,3394.0,0.0,117.0412809909846,9363.302479278767,234.0825619819692,513.1050642472553,404.6216826999464,0.98,0.0,1665.0,0.0,0.0,0.0,0.0,159.5320039330163,174.5782199751017,0.91,322667.9641917894,0.0,0,12.0,0.0,0.0
71,16_2023-02-20,A,5,STEP Aire,2023-02-20,v4.2,20230223_N1MHV_02200221_17.xlsx,2023-02-23,S-0680094-9-B3,n1mhv,ww,qscript_xlt,40.0,Z,False,25632,76.0,3394.0,0.0,143.0370012452725,11442.9600996218,286.0740024905451,513.1050642472553,404.6216826999464,0.94,0.0,1665.0,0.0,0.0,0.0,0.0,159.5320039330163,174.5782199751017,0.91,322667.9641917894,0.0,0,12.0,0.0,0.0
172,16_2023-02-14,A,5,STEP Aire,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664371-3-A4,n1mhv,ww,qscript_xlt,40.0,U,False,26446,76.0,3866.0,0.0,138.6280235759056,11090.24188607245,277.2560471518112,519.5744839352967,379.7961029531514,1.0,542.0,2042.0,0.0,997.4721194292792,79797.76955434235,1994.944238858559,1241.770273248467,190.6639976359829,1.05,322667.9641917894,24.73061425673844,0,24.0,0.0,0.0
173,16_2023-02-14,A,5,STEP Aire,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664371-3-B4,n1mhv,ww,qscript_xlt,40.0,U,False,24921,66.0,3866.0,0.0,127.7399796921138,10219.19837536911,255.4799593842277,519.5744839352967,379.7961029531514,1.02,577.0,2042.0,0.0,1128.39156697371,90271.32535789683,2256.783133947421,1241.770273248467,190.6639976359829,0.94,322667.9641917894,27.97653792002753,0,24.0,0.0,0.0
186,16_2023-02-13,A,5,STEP Aire,2023-02-13,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664382-9-A3,n1mhv,ww,qscript_xlt,40.0,Z,False,24404,85.0,3443.0,0.0,168.0691453794735,13445.53163035788,336.1382907589471,500.1562315612466,379.7961029531514,0.91,0.0,1709.0,0.0,0.0,0.0,0.0,174.369626933254,190.6639976359829,0.91,322667.9641917894,0.0,0,24.0,1.0,0.041666666666666664
187,16_2023-02-13,A,5,STEP Aire,2023-02-13,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664382-9-B3,n1mhv,ww,qscript_xlt,40.0,Z,False,24053,77.0,3443.0,0.0,154.4508132343836,12356.06505875068,308.9016264687671,500.1562315612466,379.7961029531514,0.94,0.0,1709.0,0.0,0.0,0.0,0.0,174.369626933254,190.6639976359829,0.91,322667.9641917894,0.0,0,24.0,1.0,0.041666666666666664
275,16_2023-02-12,A,5,STEP Aire,2023-02-12,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0672452-8-A9,n1mhv,ww,qscript_xlt,40.0,W,False,24250,120.0,4011.0,1.0,238.956538851247,19116.52310809976,477.913077702494,701.0806959208685,432.8120242475566,1.04,297.0,1641.0,0.0,593.5953955073667,47487.63164058933,1187.190791014733,955.9106469763391,212.859015858026,1.19,322667.9641917894,14.71718202937659,0,12.0,0.0,0.0
276,16_2023-02-12,A,5,STEP Aire,2023-02-12,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0672452-8-B9,n1mhv,ww,qscript_xlt,40.0,W,False,25384,133.0,4011.0,1.0,253.0489105657828,20243.91284526262,506.0978211315655,701.0806959208685,432.8120242475566,1.02,255.0,1641.0,0.0,486.3437665300533,38907.50132240426,972.6875330601066,955.9106469763391,212.859015858026,1.37,322667.9641917894,12.05806142542189,0,12.0,0.0,0.0
