,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery,failure,chip_counts,fail_counts,failure_rate
58,05_2023-03-21,A,3,CDA Lugano,2023-03-21,v4.2,20230323_N1MHV_03200321_17.xlsx,2023-03-23,S-0683343-5-C1,n1mhv,ww,qscript_xlt,40.0,Z,False,25482,285.0,2810.0,0.0,541.7813462229913,26005.50461870358,650.1376154675895,762.8650559435936,443.3636520684157,0.77,1475.0,2146.0,0.0,2872.199714404155,137865.5862913994,3446.639657284986,2087.33741360182,351.3908810544463,0.65,438809.9838074066,31.41806052250364,0,12.0,0.0,0.0
59,05_2023-03-21,A,3,CDA Lugano,2023-03-21,v4.2,20230323_N1MHV_03200321_17.xlsx,2023-03-23,S-0683343-5-D1,n1mhv,ww,qscript_xlt,40.0,Z,False,26280,199.0,2810.0,0.0,366.1422800949347,17574.82944455686,439.3707361139216,762.8650559435936,443.3636520684157,0.94,995.0,2146.0,0.0,1859.193597517508,89241.29268084037,2231.032317021009,2087.33741360182,351.3908810544463,0.94,438809.9838074066,20.33711537429566,0,12.0,0.0,0.0
70,05_2023-03-20,A,3,CDA Lugano,2023-03-20,v4.2,20230323_N1MHV_03200321_17.xlsx,2023-03-23,S-0683343-5-A1,n1mhv,ww,qscript_xlt,40.0,Z,False,27414,288.0,2810.0,0.0,508.7261208413461,24418.85380038461,610.4713450096153,940.5360115248529,443.3636520684157,0.99,0.0,2146.0,0.0,0.0,0.0,0.0,345.4955930080332,351.3908810544463,0.98,438809.9838074066,0.0,0,12.0,0.0,0.0
71,05_2023-03-20,A,3,CDA Lugano,2023-03-20,v4.2,20230323_N1MHV_03200321_17.xlsx,2023-03-23,S-0683343-5-B1,n1mhv,ww,qscript_xlt,40.0,Z,False,25350,287.0,2810.0,0.0,548.4621890518822,26326.18507449035,658.1546268622586,940.5360115248529,443.3636520684157,0.95,0.0,2146.0,0.0,0.0,0.0,0.0,345.4955930080332,351.3908810544463,0.98,438809.9838074066,0.0,0,12.0,0.0,0.0
138,05_2023-03-19,A,3,CDA Lugano,2023-03-19,v4.2,20230321_N1MHV_03150319_17.xlsx,2023-03-21,S-0675306-1-A3,n1mhv,ww,qscript_xlt,40.0,Z,False,26208,130.0,2778.0,0.0,239.5308607600374,11497.4813164818,287.4370329120449,749.9931520489384,443.3636520684157,1.1,2986.0,2141.0,0.0,5826.811294115826,279686.9421175597,6992.173552938992,6709.032377772583,351.3908810544463,1.09,921500.965995554,30.35123699684858,0,12.0,0.0,0.0
139,05_2023-03-19,A,3,CDA Lugano,2023-03-19,v4.2,20230321_N1MHV_03150319_17.xlsx,2023-03-21,S-0675306-1-B3,n1mhv,ww,qscript_xlt,40.0,Z,False,25354,129.0,2778.0,0.0,245.7101289432707,11794.086189277,294.8521547319249,749.9931520489384,443.3636520684157,1.09,3052.0,2141.0,0.0,6178.234488119697,296555.2554297454,7413.881385743635,6709.032377772583,351.3908810544463,1.03,921500.965995554,32.18176283834479,0,12.0,0.0,0.0
144,05_2023-03-18,A,3,CDA Lugano,2023-03-18,v4.2,20230321_N1MHV_03150319_17.xlsx,2023-03-21,S-0675324-5-C2,n1mhv,ww,qscript_xlt,40.0,Z,False,24911,128.0,2778.0,0.0,248.1473381557999,11911.07223147839,297.7768057869599,721.8889862943182,443.3636520684157,1.04,0.0,2141.0,0.0,0.0,0.0,0.0,322.6599689887924,351.3908810544463,0.92,921500.965995554,0.0,0,12.0,0.0,0.0
145,05_2023-03-18,A,3,CDA Lugano,2023-03-18,v4.2,20230321_N1MHV_03150319_17.xlsx,2023-03-21,S-0675324-5-D2,n1mhv,ww,qscript_xlt,40.0,Z,False,25304,131.0,2778.0,0.0,250.023817307593,12001.14323076446,300.0285807691116,721.8889862943182,443.3636520684157,1.04,0.0,2141.0,0.0,0.0,0.0,0.0,322.6599689887924,351.3908810544463,0.92,921500.965995554,0.0,0,12.0,0.0,0.0
150,05_2023-03-17,A,3,CDA Lugano,2023-03-17,v4.2,20230321_N1MHV_03150319_17.xlsx,2023-03-21,S-0675324-5-A2,n1mhv,ww,qscript_xlt,40.0,Z,False,26723,118.0,2778.0,0.0,213.1719540846642,10232.25379606388,255.806344901597,864.3625790523379,443.3636520684157,1.32,2834.0,2141.0,0.0,5400.121188425473,259205.8170444227,6480.145426110566,8593.414449981537,351.3908810544463,1.49,921500.965995554,28.12865386032306,0,12.0,0.0,0.0
151,05_2023-03-17,A,3,CDA Lugano,2023-03-17,v4.2,20230321_N1MHV_03150319_17.xlsx,2023-03-21,S-0675324-5-B2,n1mhv,ww,qscript_xlt,40.0,Z,False,25824,123.0,2778.0,0.0,229.9802715569238,11039.05303473234,275.9763258683085,864.3625790523379,443.3636520684157,1.28,2876.0,2141.0,0.0,5687.54842716347,273002.3245038466,6825.058112596164,8593.414449981537,351.3908810544463,1.42,921500.965995554,29.62583161363325,0,12.0,0.0,0.0
