,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery,failure,chip_counts,fail_counts,failure_rate
6,10_2023-02-14,A,3,ARA Werdhölzli,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664389-8-C2,n1mhv,ww,qscript_xlt,40.0,Z,False,24639,264.0,3443.0,0.0,518.9083112839164,24907.59894162799,622.6899735406997,,,,812.0,1709.0,0.0,1614.21782146691,77482.45543041166,1937.061385760292,,,,322667.9641917894,24.01306111205919,0,24.0,1.0,0.041666666666666664
7,10_2023-02-14,A,3,ARA Werdhölzli,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664389-8-D2,n1mhv,ww,qscript_xlt,40.0,Z,False,25486,242.0,3443.0,0.0,459.5750514496273,22059.60246958211,551.4900617395527,,,,839.0,1709.0,0.0,1612.432204328452,77396.7458077657,1934.918645194143,,,,322667.9641917894,23.98649831929461,0,24.0,1.0,0.041666666666666664
20,10_2023-02-13,A,3,ARA Werdhölzli,2023-02-13,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664389-8-A2,n1mhv,ww,qscript_xlt,40.0,Z,False,25632,257.0,3443.0,0.0,485.4110560692321,23299.73069132314,582.4932672830786,,,,0.0,1709.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,24.0,1.0,0.041666666666666664
21,10_2023-02-13,A,3,ARA Werdhölzli,2023-02-13,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664389-8-B2,n1mhv,ww,qscript_xlt,40.0,Z,False,23874,241.0,3443.0,0.0,488.7264101492053,23458.86768716186,586.4716921790464,,,,0.0,1709.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,24.0,1.0,0.041666666666666664
109,10_2023-02-12,A,3,ARA Werdhölzli,2023-02-12,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671466-6-A6,n1mhv,ww,qscript_xlt,40.0,U,False,26584,128.0,3161.0,0.0,232.4930333719388,11159.66560185306,278.9916400463266,709.9505050309795,435.7559822328236,1.06,358.0,1361.0,0.0,653.0946986060036,31348.54553308817,783.7136383272043,1334.731571293578,189.5774120232041,1.58,322667.9641917894,9.715419258186731,0,12.0,0.0,0.0
110,10_2023-02-12,A,3,ARA Werdhölzli,2023-02-12,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671466-6-B6,n1mhv,ww,qscript_xlt,40.0,U,False,25922,119.0,3161.0,0.0,221.6408845727907,10638.76245949395,265.9690614873488,709.9505050309795,435.7559822328236,1.08,350.0,1361.0,0.0,654.8182127506233,31431.27421202992,785.7818553007479,1334.731571293578,189.5774120232041,1.58,322667.9641917894,9.741058208476996,0,12.0,0.0,0.0
115,10_2023-02-11,A,3,ARA Werdhölzli,2023-02-11,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671491-8-C5,n1mhv,ww,qscript_xlt,40.0,U,False,25733,153.0,3161.0,0.0,287.2552389283672,13788.25146856163,344.7062867140407,643.2416797590024,435.7559822328236,0.89,0.0,1361.0,0.0,0.0,0.0,0.0,148.496989836649,189.5774120232041,0.78,322667.9641917894,0.0,0,12.0,0.0,0.0
116,10_2023-02-11,A,3,ARA Werdhölzli,2023-02-11,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671491-8-D5,n1mhv,ww,qscript_xlt,40.0,U,False,25696,155.0,3161.0,0.0,291.4418910718251,13989.21077144761,349.7302692861902,643.2416797590024,435.7559822328236,0.88,0.0,1361.0,0.0,0.0,0.0,0.0,148.496989836649,189.5774120232041,0.78,322667.9641917894,0.0,0,12.0,0.0,0.0
121,10_2023-02-10,A,3,ARA Werdhölzli,2023-02-10,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671491-8-A5,n1mhv,ww,qscript_xlt,40.0,U,False,26756,143.0,3161.0,0.0,258.1372374567491,12390.58739792395,309.7646849480989,812.4714190245026,435.7559822328236,1.17,405.0,1361.0,0.0,734.7072410771615,35265.94757170375,881.6486892925938,1581.634976888072,189.5774120232041,1.71,322667.9641917894,10.92948525585334,0,12.0,0.0,0.0
122,10_2023-02-10,A,3,ARA Werdhölzli,2023-02-10,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671491-8-B5,n1mhv,ww,qscript_xlt,40.0,U,False,25601,114.0,3161.0,0.0,214.9756731207867,10318.83230979776,257.970807744944,812.4714190245026,435.7559822328236,1.25,405.0,1361.0,0.0,768.1195309689117,36869.73748650776,921.7434371626939,1581.634976888072,189.5774120232041,1.65,322667.9641917894,11.42652558609534,0,12.0,0.0,0.0
127,10_2023-02-09,A,3,ARA Werdhölzli,2023-02-09,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671467-3-C4,n1mhv,ww,qscript_xlt,40.0,U,False,25944,127.0,3161.0,0.0,236.3766540346745,11346.07939366437,283.6519848416094,755.5505398427923,435.7559822328236,1.12,0.0,1361.0,0.0,0.0,0.0,0.0,191.9607161985253,189.5774120232041,1.01,322667.9641917894,0.0,0,12.0,0.0,0.0
128,10_2023-02-09,A,3,ARA Werdhölzli,2023-02-09,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671467-3-D4,n1mhv,ww,qscript_xlt,40.0,U,False,26122,154.0,3161.0,0.0,284.8198643108917,13671.3534869228,341.78383717307,755.5505398427923,435.7559822328236,1.05,0.0,1361.0,0.0,0.0,0.0,0.0,191.9607161985253,189.5774120232041,1.01,322667.9641917894,0.0,0,12.0,0.0,0.0
133,10_2023-02-08,A,3,ARA Werdhölzli,2023-02-08,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671467-3-A4,n1mhv,ww,qscript_xlt,40.0,U,False,27524,190.0,3161.0,0.0,333.6706549915596,16016.19143959486,400.4047859898715,855.336591364571,435.7559822328236,1.11,402.0,1361.0,0.0,708.7256586936335,34018.8316172944,850.4707904323601,1705.893488058187,189.5774120232041,1.9,322667.9641917894,10.54298393164128,0,12.0,0.0,0.0
134,10_2023-02-08,A,3,ARA Werdhölzli,2023-02-08,v4.2,20230214_N1MHV_02080212_16.xlsx,2023-02-14,S-0671467-3-B4,n1mhv,ww,qscript_xlt,40.0,U,False,26285,192.0,3161.0,0.0,353.1481285321029,16951.11016954094,423.7777542385235,855.336591364571,435.7559822328236,1.08,405.0,1361.0,0.0,747.9751752751241,35902.80841320596,897.5702103301489,1705.893488058187,189.5774120232041,1.82,322667.9641917894,11.12685868990261,0,12.0,0.0,0.0
153,10_2023-02-07,A,3,ARA Werdhölzli,2023-02-07,v4.2,20230209_N1MHV_02060207_17.xlsx,2023-02-09,S'0660290'1-C2,n1mhv,ww,qscript_xlt,40.0,Z,False,25050,161.0,3563.0,0.0,310.5919429818852,14908.41326313049,372.7103315782622,,,,752.0,1529.0,0.0,1468.197740767024,70473.49155681714,1761.837288920429,,,,322667.9641917894,21.84087029939194,0,12.0,0.0,0.0
154,10_2023-02-07,A,3,ARA Werdhölzli,2023-02-07,v4.2,20230209_N1MHV_02060207_17.xlsx,2023-02-09,S'0660290'1-D2,n1mhv,ww,qscript_xlt,40.0,Z,False,25676,145.0,3563.0,0.0,272.798813047266,13094.34302626877,327.3585756567192,,,,705.0,1529.0,0.0,1341.115216863329,64373.5304094398,1609.338260235995,,,,322667.9641917894,19.95039407481341,0,12.0,0.0,0.0
167,10_2023-02-06,A,3,ARA Werdhölzli,2023-02-06,v4.2,20230209_N1MHV_02060207_17.xlsx,2023-02-09,S'0660290'1-A2,n1mhv,ww,qscript_xlt,40.0,Z,False,26435,129.0,3563.0,0.0,235.6377476313394,11310.61188630429,282.7652971576073,,,,0.0,1529.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
168,10_2023-02-06,A,3,ARA Werdhölzli,2023-02-06,v4.2,20230209_N1MHV_02060207_17.xlsx,2023-02-09,S'0660290'1-B2,n1mhv,ww,qscript_xlt,40.0,Z,False,24861,112.0,3563.0,0.0,217.4964536119982,10439.82977337591,260.9957443343978,,,,0.0,1529.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
217,10_2023-02-05,A,3,ARA Werdhölzli,2023-02-05,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671813'8-A6,n1mhv,ww,qscript_xlt,40.0,W,False,26263,124.0,3031.0,0.0,227.969779657916,10942.54942357997,273.5637355894991,,,,0.0,1142.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
218,10_2023-02-05,A,3,ARA Werdhölzli,2023-02-05,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671813'8-B6,n1mhv,ww,qscript_xlt,40.0,W,False,24865,119.0,3031.0,0.0,231.0853745143479,11092.0979766887,277.3024494172174,,,,0.0,1142.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
223,10_2023-02-04,A,3,ARA Werdhölzli,2023-02-04,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671810'7-C5,n1mhv,ww,qscript_xlt,40.0,W,False,25066,130.0,3031.0,0.0,250.4722410546497,12022.66757062318,300.5666892655796,,,,180.0,1142.0,0.0,347.1555797635352,16663.46782864969,416.5866957162422,,,,322667.9641917894,5.164277113901878,0,12.0,0.0,0.0
224,10_2023-02-04,A,3,ARA Werdhölzli,2023-02-04,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671810'7-D5,n1mhv,ww,qscript_xlt,40.0,W,False,26518,160.0,3031.0,0.0,291.5179899243525,13992.86351636892,349.821587909223,,,,173.0,1142.0,0.0,315.2815043968188,15133.5122110473,378.3378052761826,,,,322667.9641917894,4.690119221768218,0,12.0,0.0,0.0
229,10_2023-02-03,A,3,ARA Werdhölzli,2023-02-03,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671810'7-A5,n1mhv,ww,qscript_xlt,40.0,W,False,26262,128.0,3031.0,0.0,235.3506199353992,11296.82975689916,282.420743922479,,,,0.0,1142.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
230,10_2023-02-03,A,3,ARA Werdhölzli,2023-02-03,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671810'7-B5,n1mhv,ww,qscript_xlt,40.0,W,False,25675,137.0,3031.0,0.0,257.7175728387525,12370.44349626012,309.261087406503,,,,0.0,1142.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
235,10_2023-02-02,A,3,ARA Werdhölzli,2023-02-02,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671808'4-C4,n1mhv,ww,qscript_xlt,40.0,W,False,25865,160.0,3031.0,0.0,298.9006718694802,14347.23224973505,358.6808062433763,,,,149.0,1142.0,0.0,278.2917714854566,13358.00503130192,333.950125782548,,,,322667.9641917894,4.139860944906854,0,12.0,0.0,0.0
236,10_2023-02-02,A,3,ARA Werdhölzli,2023-02-02,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671808'4-D4,n1mhv,ww,qscript_xlt,40.0,W,False,26119,138.0,3031.0,0.0,255.1790552706673,12248.59465299203,306.2148663248007,,,,142.0,1142.0,0.0,262.5957467422762,12604.59584362926,315.1148960907315,,,,322667.9641917894,3.906367300888061,0,12.0,0.0,0.0
241,10_2023-02-01,A,3,ARA Werdhölzli,2023-02-01,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671808'4-A4,n1mhv,ww,qscript_xlt,40.0,W,False,26369,131.0,3031.0,0.0,239.9005831589001,11515.22799162721,287.8806997906801,,,,0.0,1142.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
242,10_2023-02-01,A,3,ARA Werdhölzli,2023-02-01,v4.2,20230207_N1MHV_02010205_17.xlsx,2023-02-07,S'0671808'4-B4,n1mhv,ww,qscript_xlt,40.0,W,False,26056,107.0,3031.0,0.0,198.2174735078909,9514.438728378764,237.8609682094691,,,,0.0,1142.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0,0,12.0,0.0,0.0
