,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery
0,05_2023-02-19,A,3,CDA Lugano,2023-02-19,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0671337-9-A3,n1mhv,ww,qscript_xlt,40.0,U,False,26085,113.0,3325.0,0.0,209.1234021250361,10037.92330200173,250.9480825500434,,,,539.0,1638.0,1.0,1005.765310875287,48276.73492201377,1206.918373050344,,,,322667.9641917894,14.9617378480495
1,05_2023-02-19,A,3,CDA Lugano,2023-02-19,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0671337-9-B3,n1mhv,ww,qscript_xlt,40.0,U,False,24510,128.0,3325.0,0.0,252.2178418625599,12106.45640940287,302.6614102350718,,,,516.0,1638.0,1.0,1024.922853915455,49196.29698794185,1229.907424698546,,,,322667.9641917894,15.24672494561631
2,10_2023-02-19,A,3,ARA Werdhölzli,2023-02-19,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660331-1-A6,n1mhv,ww,qscript_xlt,40.0,V,False,26212,172.0,3330.0,0.0,317.1244622775482,15221.97418932231,380.5493547330578,,,,508.0,1703.0,0.0,942.7119153994751,45250.1719391748,1131.25429847937,,,,322667.9641917894,14.02375722440134
3,10_2023-02-19,A,3,ARA Werdhölzli,2023-02-19,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660331-1-B6,n1mhv,ww,qscript_xlt,40.0,V,False,24607,190.0,3330.0,0.0,373.3788195254849,17922.18333722327,448.0545834305818,,,,548.0,1703.0,0.0,1084.865529063243,52073.54539503565,1301.838634875891,,,,322667.9641917894,16.13843057691462
4,05_2023-02-18,A,3,CDA Lugano,2023-02-18,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660555-1-C2,n1mhv,ww,qscript_xlt,40.0,U,False,25342,87.0,3325.0,0.0,165.6523341377972,7951.312038614267,198.7828009653567,,,,0.0,1638.0,1.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
5,05_2023-02-18,A,3,CDA Lugano,2023-02-18,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660555-1-D2,n1mhv,ww,qscript_xlt,40.0,U,False,25989,93.0,3325.0,0.0,172.680874381973,8288.681970334705,207.2170492583676,,,,0.0,1638.0,1.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
6,10_2023-02-18,A,3,ARA Werdhölzli,2023-02-18,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660557-5-C5,n1mhv,ww,qscript_xlt,40.0,V,False,24542,204.0,3330.0,0.0,402.072285151625,19299.469687278,482.4867421819499,,,,0.0,1703.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
7,10_2023-02-18,A,3,ARA Werdhölzli,2023-02-18,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660557-5-D5,n1mhv,ww,qscript_xlt,40.0,V,False,26347,211.0,3330.0,0.0,387.3189891407687,18591.3114787569,464.7827869689225,,,,0.0,1703.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
8,05_2023-02-17,A,3,CDA Lugano,2023-02-17,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660555-1-A2,n1mhv,ww,qscript_xlt,40.0,U,False,26061,81.0,3325.0,0.0,149.948588797672,7197.532262288256,179.9383065572064,,,,449.0,1638.0,1.0,837.1364301222238,40182.54864586674,1004.563716146669,,,,322667.9641917894,12.45321913085328
9,05_2023-02-17,A,3,CDA Lugano,2023-02-17,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660555-1-B2,n1mhv,ww,qscript_xlt,40.0,U,False,25163,90.0,3325.0,0.0,172.595937328169,8284.604991752112,207.1151247938028,,,,486.0,1638.0,1.0,939.4521134433296,45093.70144527982,1127.342536131996,,,,322667.9641917894,13.97526449774132
10,10_2023-02-17,A,3,ARA Werdhölzli,2023-02-17,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660557-5-A5,n1mhv,ww,qscript_xlt,40.0,V,False,26048,277.0,3330.0,0.0,514.9884921457956,24719.44762299819,617.9861905749547,,,,705.0,1703.0,0.0,1321.697111621976,63441.46135785485,1586.036533946371,,,,322667.9641917894,19.661530860915
11,10_2023-02-17,A,3,ARA Werdhölzli,2023-02-17,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660557-5-B5,n1mhv,ww,qscript_xlt,40.0,V,False,25509,256.0,3330.0,0.0,485.8559983998429,23321.08792319246,583.0271980798115,,,,697.0,1703.0,0.0,1334.485739927458,64055.315516518,1601.38288791295,,,,322667.9641917894,19.85177415333504
12,05_2023-02-16,A,3,CDA Lugano,2023-02-16,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660580-3-C1,n1mhv,ww,qscript_xlt,40.0,U,False,25275,84.0,3325.0,0.0,160.3553486030461,7697.056732946214,192.4264183236554,,,,0.0,1638.0,1.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
13,05_2023-02-16,A,3,CDA Lugano,2023-02-16,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660580-3-D1,n1mhv,ww,qscript_xlt,40.0,U,False,25816,113.0,3325.0,0.0,211.3072323492433,10142.74715276368,253.568678819092,,,,0.0,1638.0,1.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
14,10_2023-02-16,A,3,ARA Werdhölzli,2023-02-16,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660549-0-C4,n1mhv,ww,qscript_xlt,40.0,V,False,24878,234.0,3330.0,0.0,455.2223331140943,21850.67198947653,546.2667997369132,,,,0.0,1703.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
15,10_2023-02-16,A,3,ARA Werdhölzli,2023-02-16,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660549-0-D4,n1mhv,ww,qscript_xlt,40.0,V,False,26246,203.0,3330.0,0.0,374.0163004004977,17952.78241922389,448.8195604805973,,,,0.0,1703.0,0.0,0.0,0.0,0.0,,,,322667.9641917894,0.0
16,05_2023-02-15,A,3,CDA Lugano,2023-02-15,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660580-3-A1,n1mhv,ww,qscript_xlt,40.0,U,False,26529,113.0,3325.0,0.0,205.6159481664507,9869.565511989636,246.7391377997409,,,,579.0,1638.0,1.0,1062.951091031314,51021.65236950305,1275.541309237576,,,,322667.9641917894,15.81243198323106
17,05_2023-02-15,A,3,CDA Lugano,2023-02-15,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660580-3-B1,n1mhv,ww,qscript_xlt,40.0,U,False,25143,103.0,3325.0,0.0,197.7351422437901,9491.286827701926,237.2821706925482,,,,612.0,1638.0,1.0,1186.989592337614,56975.50043220547,1424.387510805137,,,,322667.9641917894,17.65762540911561
18,10_2023-02-15,A,3,ARA Werdhölzli,2023-02-15,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660549-0-A4,n1mhv,ww,qscript_xlt,40.0,V,False,25722,195.0,3330.0,0.0,366.5675004029429,17595.24001934126,439.8810004835315,,,,585.0,1703.0,0.0,1108.178831629861,53192.58391823331,1329.814597955833,,,,322667.9641917894,16.48523864197946
19,10_2023-02-15,A,3,ARA Werdhölzli,2023-02-15,v4.2,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660549-0-B4,n1mhv,ww,qscript_xlt,40.0,V,False,25343,200.0,3330.0,0.0,381.6488438332734,18319.14450399712,457.9786125999281,,,,628.0,1703.0,0.0,1208.680685160646,58016.67288771101,1450.416822192775,,,,322667.9641917894,17.98030152544884
20,pos_U_2023-02-21,A,1,,,,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0671337-9-C3,n1mhv,pos,qscript_xlt,,U,False,24502,3325.0,3325.0,0.0,7025.002880083525,112400.0460813364,,,,,1638.0,1638.0,1.0,3332.905861486861,53326.49378378978,,,,,0.0,
21,ntc_U_2023-02-21,A,1,,,,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0671337-9-D3,n1mhv,ntc,qscript_xlt,,U,False,25927,0.0,3325.0,0.0,0.0,0.0,,,,,1.0,1638.0,1.0,1.857927481380009,29.72683970208014,,,,,0.0,
22,pos_V_2023-02-21,A,1,,,,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660331-1-C6,n1mhv,pos,qscript_xlt,,V,False,24840,3330.0,3330.0,0.0,6933.396617805364,110934.3458848858,,,,,1703.0,1703.0,0.0,3421.107386306983,54737.71818091172,,,,,0.0,
23,ntc_V_2023-02-21,A,1,,,,20230221_N1MHV_02150219_16.xlsx,2023-02-21,S-0660331-1-D6,n1mhv,ntc,qscript_xlt,,V,False,25797,0.0,3330.0,0.0,0.0,0.0,,,,,0.0,1703.0,0.0,0.0,0.0,,,,,0.0,
24,05_2023-02-14,A,3,CDA Lugano,2023-02-14,v4.2,20230217_N1MHV_02130214_10.xlsx,2023-02-17,S-0664365-2-B1,n1mhv,ww,qscript_xlt,40.0,Z,True,22889,293.0,,,620.5947180874589,29788.54646819803,744.7136617049507,,,,846.0,,,1814.130762828055,87078.27661574662,2176.956915393665,,,,0.0,
25,10_2023-02-14,A,3,ARA Werdhölzli,2023-02-14,v4.2,20230217_N1MHV_02130214_10.xlsx,2023-02-17,S-0664365-2-D1,n1mhv,ww,qscript_xlt,40.0,Z,True,24926,450.0,,,877.5717631932073,42123.44463327395,1053.086115831849,,,,906.0,,,1783.459477473392,85606.05491872283,2140.151372968071,,,,0.0,
